inconsciente	a 1.0 7.375
palurdo	a 0.5 0.0
interrumpido	a 0.25 1.125
deteriorable	a 0.0 1.5
mutante	a 0.0 0.375
meteorologico	a 0.0 0.375
bivalente	a 0.0 1.5
material	a 0.5 0.625
completo	a 14.5 2.0
clasificable	a 2.875 0.125
impracticable	a 0.0 3.0
deliberativo	a 0.375 0.125
amenazado	a 0.0 0.25
conspirador	a 0.25 0.0
aluminifero	a 0.0 0.125
perennifolio	a 0.125 0.0
rendido	a 1.0 0.25
transcontinental	a 0.25 0.0
bisemanal	a 0.5 0.375
diminuto	a 1.125 5.125
indeseoso	a 0.25 0.75
miserable	a 5.61 26.39
bacanal	a 0.625 0.25
algofobico	a 0.0 0.875
evaporable	a 0.0 4.25
meritorio	a 2.75 0.5
dialectico	a 0.25 0.75
listado	a 0.625 0.0
indeseado	a 0.125 2.25
esqueletico	a 3.25 0.75
conmutable	a 1.375 0.375
irrepetible	a 0.5 0.5
fresco	a 10.25 6.0
parturienta	a 0.25 0.0
alcista	a 1.5 0.0
incestuoso	a 0.375 0.375
planeado	a 1.125 3.75
blanco	a 1.25 1.25
haploide	a 2.25 0.0
sugestivo	a 1.25 0.375
agrisado	a 1.0 0.375
ramoso	a 0.0 2.875
compelido	a 0.0 0.25
agrio	a 1.5 10.125
estrechado	a 0.0 0.125
panoptico	a 0.75 0.0
ilustre	a 3.625 0.25
explotado	a 1.25 0.125
reumatico	a 0.0 0.625
bipedo	a 0.0 0.5
musculoso	a 1.0 1.0
disparatado	a 6.375 4.875
decisivo	a 2.5 2.25
aquilino	a 0.25 0.0
gobernante	a 0.625 0.0
antimonopolio	a 1.25 0.0
contrastivo	a 1.0 0.75
metafisico	a 0.125 0.0
positivista	a 1.0 0.0
biliar	a 0.0 1.5
inmodificable	a 0.0 0.625
irrevocable	a 0.25 1.5
turboso	a 0.375 0.0
irrompible	a 3.25 2.125
desgravable	a 0.375 0.375
insensible	a 1.875 12.375
gregario	a 0.0 0.25
aminico	a 0.5 0.0
diseccionado	a 0.125 0.25
victoriano	a 0.5 0.25
diploclamideo	a 0.625 0.0
septuagesimo	a 0.75 0.0
valeroso	a 5.625 2.25
logico	a 1.75 0.625
ametrope	a 0.0 0.25
simplex	a 0.0 0.875
predeterminado	a 0.25 0.25
enjoyado	a 0.0 2.75
12	a 0.0 0.5
perturbado	a 1.0 4.75
certificativo	a 0.375 0.125
nudoso	a 0.5 3.5
organicista	a 0.0 0.375
chapucero	a 2.875 5.125
prolijo	a 0.25 1.125
absolutista	a 1.5 0.0
untuoso	a 0.0 1.75
colgante	a 2.875 2.75
xxix	a 0.0 0.25
entallado	a 0.5 0.0
compartido	a 0.125 0.0
oportunista	a 0.375 0.0
infamante	a 0.25 2.0
quejicoso	a 0.0 1.5
biracial	a 0.125 0.0
educativo	a 0.75 0.125
movedor	a 0.625 0.0
catequistico	a 0.375 0.0
permanentado	a 0.0 0.125
mezclable	a 0.75 0.0
ofensivo	a 0.819 7.4309998
discreto	a 2.5 2.25
activador	a 0.5 0.25
supino	a 0.0 1.5
desaprobatorio	a 0.75 6.625
consiguiente	a 1.25 1.625
amativo	a 1.5 0.0
curvado	a 0.25 0.25
sepulcral	a 0.375 2.5
estandarizado	a 1.0 0.0
disculpado	a 0.0 0.25
armonioso	a 2.375 0.0
undecimo	a 0.75 0.0
calumnioso	a 0.0 7.875
invitador	a 0.375 0.0
trilatero	a 0.25 0.125
marcial	a 1.5 0.625
polisintetico	a 0.0 0.625
pregrabado	a 0.25 0.25
trabajador	a 2.625 1.625
rosa	a 2.0 1.625
propiciador	a 0.5 0.25
zoofago	a 0.0 0.125
agravante	a 0.0 0.75
detonador	a 0.25 1.5
monarquico	a 1.5 0.0
ruinoso	a 0.375 3.5
asistido	a 0.0 0.75
exuberante	a 2.25 3.375
necesario	a 0.75 0.0
naciente	a 0.875 0.625
